Month,Confirmed Cases,Active Cases,Recovered Cases,Death
Aug-20,3621245,781975,2774801,64469
Sep-20,6225763,940441,5187825,97497
Oct-20,8137119,582649,7432829,121641
Nov-20,9431691,446952,8847600,137139
Dec-20,10266674,257656,9860280,148738
Jan-21,10746183,168784,10423125,154274
Feb-21,11079979,159590,10763451,156938
Mar-21,12149335,552566,11434301,162468
Apr-21,18762976,3170228,15384418,208330
May-21,28047534,2026092,25692342,329100
Jun-21,30362848,537064,29427330,398454
Jul-21,30585229,482071,29700430,402728
